data,Szczepienia,,Zaszczepieni,,,,,,NOP,,,,,,,,dawki szczepionki #,,,,płeć,,,wiek,,,,,,,,Województwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,komentarz autora
,suma wykonanych szczpień,dzienna liczba szczpień,liczba zaszczepionych osób 1 dawką,%,zaszczepieni I z dwóch dawek,%,całkowicie zaszczepieni,%,#,%,łagodne,poważne,ciężkie,zgon,K,M,w Polsce,w punktach,zutylizowane,wykorzystane + zutylizowane,K,M,?,18-30,31-40,41-50,51-60,61-70,71-75,76+,?,dolnośląskie,,kujawsko-pomorskie,,lubelskie,,lubuskie,,łódzkie,,małopolskie,,mazowieckie,,opolskie,,podkarpackie,,podlaskie,,pomorskie,,śląskie,,świętokrzyskie,,warmińsko-mazurskie,,wielkopolskie,,zachodniopomorskie,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,ogółem,całkowicie,
28.12.2020,3 853,3 853,3 853,"0,01%",3 853,"0,01%",0,"0,00%",0,"0,000%",0,0,0,0,0,0,,,,3 853,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
29.12.2020,8 121,4 268,8 121,"0,03%",8 121,"0,03%",0,"0,00%",0,"0,000%",0,0,0,0,0,0,,,,8 121,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
30.12.2020,17 998,9 877,17 998,"0,06%",17 998,"0,06%",0,"0,00%",0,"0,000%",0,0,0,0,0,0,,,,17 998,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
31.12.2020,38 022,20 024,38 022,"0,12%",38 022,"0,12%",0,"0,00%",2,"0,005%",2,0,0,0,2,0,,,,38 022,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1.01.2021,47 919,9 897,47 919,"0,15%",47 919,"0,15%",0,"0,00%",2,"0,004%",2,0,0,0,2,0,,,,47 919,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2.01.2021,48 717,798,48 717,"0,15%",48 717,"0,15%",0,"0,00%",2,"0,004%",2,0,0,0,2,0,,,,48 717,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
3.01.2021,50 446,1 729,50 446,"0,16%",50 446,"0,16%",0,"0,00%",2,"0,004%",2,0,0,0,2,0,,,,50 446,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
4.01.2021,50 833,387,50 833,"0,16%",50 833,"0,16%",0,"0,00%",2,"0,004%",2,0,0,0,2,0,,,,50 833,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
5.01.2021,92 200,41 367,92 200,"0,29%",92 200,"0,29%",0,"0,00%",4,"0,004%",4,0,0,0,4,0,,,,92 200,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
